,Name,Market Cap (GBP$ Billion)
0,JPMorgan Chase,337.616
1,Industrial and Commercial Bank of China,249.31
2,Bank of America,235.885
3,Wells Fargo,180.744
4,China Construction Bank,175.381
5,Agricultural Bank of China,153.043
6,HSBC Holdings PLC,142.907
7,Citigroup Inc.,137.94
8,Bank of China,127.459
9,China Merchants Bank,112.465
10,Royal Bank of Canada,95.963
11,Toronto-Dominion Bank,89.9
12,HDFC Bank,89.301
13,Commonwealth Bank,84.132
14,U.S. Bancorp,71.171
15,Goldman Sachs,66.364
16,Banco Santander,63.641
17,Banco Bradesco,62.966
18,Morgan Stanley,62.342
19,Westpac,57.207
20,Mitsubishi UFJ Financial Group,55.824
21,Scotiabank,55.217
22,PNC Financial Services,53.218
23,Bank of Communications,52.156
24,BNP Paribas,50.056
25,Australia and New Zealand Banking Group,46.278
26,National Australia Bank,43.58
27,Lloyds Banking Group,43.166
28,Sumitomo Mitsui Financial Group,42.036
29,Bank of Montreal,40.578
30,UBS,38.722
31,ING Group,37.921
32,Capital One,36.446
33,The Bank of New York Mellon,35.906
34,China Minsheng Bank,32.997
35,China CITIC Bank,32.508
36,Banco Bilbao Vizcaya Argentaria,31.555
37,Mizuho Financial Group,31.158
38,Intesa Sanpaolo,31.116
39,Crédit Agricole,29.421
40,Canadian Imperial Bank of Commerce,29.404
41,Royal Bank of Scotland,28.629
42,Barclays,28.047
43,Credit Suisse,25.93
44,Nordea,24.952
45,Standard Chartered,24.767
46,KBC Bank,23.105
47,UniCredit,22.667
48,Société Générale,17.936
49,Deutsche Bank,13.298
