Name,Market Cap (US$ Billion)
JPMorgan Chase,400.37
Industrial and Commercial Bank of China,295.65
Bank of America,279.73
Wells Fargo,214.34
China Construction Bank,207.98
Agricultural Bank of China,181.49
HSBC Holdings PLC,169.47
Citigroup Inc.,163.58
Bank of China,151.15
China Merchants Bank,133.37
Royal Bank of Canada,113.80
Toronto-Dominion Bank,106.61
HDFC Bank,105.9
Commonwealth Bank,99.77
U.S. Bancorp,84.40
Goldman Sachs,78.70
Banco Santander,75.47
Banco Bradesco,74.67
Morgan Stanley,73.93
Westpac,67.84
Mitsubishi UFJ Financial Group,66.20
Scotiabank,65.48
PNC Financial Services,63.11
Bank of Communications,61.85
BNP Paribas,59.36
Australia and New Zealand Banking Group,54.88
National Australia Bank,51.68
Lloyds Banking Group,51.19
Sumitomo Mitsui Financial Group,49.85
Bank of Montreal,48.12
UBS,45.92
ING Group,44.97
Capital One,43.22
The Bank of New York Mellon,42.58
China Minsheng Bank,39.13
China CITIC Bank,38.55
Banco Bilbao Vizcaya Argentaria,37.42
Mizuho Financial Group,36.95
Intesa Sanpaolo,36.90
Crédit Agricole,34.89
Canadian Imperial Bank of Commerce,34.87
Royal Bank of Scotland,33.95
Barclays,33.26
Credit Suisse,30.75
Nordea,29.59
Standard Chartered,29.37
KBC Bank,27.40
UniCredit,26.88
Société Générale,21.27
Deutsche Bank,15.77
